Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Peroxisome,-0.5439615628461005,-2.2301648048430973,2.000000e-03,2.000000e-03,2.000000e-03,24/82,10.95%,ACSL3;MVK;PEX26;PEX6;ACOX1;SOD1;PEX1;PHYH;HSD17B4;PEX19;ABCD1;PEX13;ACAA1;PRDX1;SCP2;IDH1;PEX2;CROT;PEX12;PEX3;ACSL6;FAR1;ABCD3;PEX11B
prerank,Long-term potentiation,-0.5304394109429094,-2.0278535073598234,2.000000e-03,1.289469e-02,1.800000e-02,8/67,3.09%,KRAS;ATF4;CREBBP;RAP1B;PPP1CC;CALM2;PRKCA;RPS6KA3
prerank,Aminoacyl-tRNA biosynthesis,0.558543508097227,1.9859614497148408,2.000000e-03,1.043881e-02,1.400000e-02,12/44,2.45%,YARS2;RARS2;HARS2;MARS2;FARS2;CARS2;GATB;FARSA;EARS2;GATC;LARS2;AARS2
prerank,Various types of N-glycan biosynthesis,0.5448229267519998,1.8893756979613294,2.000000e-03,2.311450e-02,5.800000e-02,13/39,9.75%,ALG1;HEXD;ALG13;ALG11;MGAT4B;ALG2;DDOST;STT3A;HEXA;RPN1;RPN2;B4GALNT3;ALG14
prerank,Coronavirus disease,-0.40187700878821875,-1.8868170425321669,2.000000e-03,5.243841e-02,1.100000e-01,42/220,7.19%,RPL6;RPL23A;RPL18A;RPL23;RPS10;RPS11;RPL10A;RPSA;RPL27A;RPL35A;RPL18;RPS9;RPL7A;RPL14;RPL10;RPL37A;RPL35;RPS27A;RPL9;RPS29;RPL12;RPL36AL;RPL28;RPL26L1;PRKCA;RPS8;RPS7;RPL5;FAU;RPL3;RPL11;RPS4Y2;RPL4;IFNA8;RPS16;IL6ST;RPS25;STAT1;RPS14;PIK3R3;NFKBIB;RPS21
prerank,Fanconi anemia pathway,-0.5259886082933015,-1.8742042301047925,2.000000e-03,4.319722e-02,1.220000e-01,20/50,13.07%,PALB2;BRCA1;MUS81;RMI1;BRCA2;RMI2;REV1;CENPX;REV3L;FAN1;FANCM;BLM;POLH;WDR48;USP1;FAAP24;PMS2;BRIP1;FANCC;POLN
prerank,Mitophagy,-0.49174710554861106,-1.8651871564444487,2.000000e-03,3.765250e-02,1.320000e-01,9/65,4.51%,KRAS;ATF4;FOXO3;RPS27A;AMBRA1;CSNK2A1;ATG9A;RHOT1;CSNK2B
prerank,DNA replication,0.5555427850170864,1.8600529550003968,7.936508e-03,2.087761e-02,7.800000e-02,11/34,3.44%,RFC2;POLD1;PCNA;RPA2;MCM5;POLE;MCM3;RFC5;POLD2;POLA1;MCM4
prerank,Ribosome,-0.4312218722389464,-1.8488978001809149,2.000000e-03,3.567531e-02,1.500000e-01,33/127,4.28%,RPL6;RPL23A;RPL18A;RPL23;RPS10;RPS11;RPL10A;RPSA;RPL27A;RPL35A;RPL18;RPS9;RPL7A;RPL14;RPL10;RPL37A;RPL35;RPS27A;RPL9;RPS29;RPL12;RPL36AL;RPL28;RPL26L1;RPS8;RPS7;RPL5;FAU;RPL3;RPL11;RPS4Y2;RPL4;RPS16
prerank,Nucleotide excision repair,0.5188366155050352,1.842213638133779,2.000000e-03,2.125043e-02,1.020000e-01,14/43,6.77%,RFC2;POLD1;PCNA;ERCC3;RPA2;RBX1;POLE;GTF2H1;RFC5;POLD2;MNAT1;CDK7;CUL4A;LIG1
