Gene,KRAS_mean,WT_mean,Diff,Pvalue
ANKRD22 (118932),-0.19870304137805087,-0.04399453269441233,-0.15470850868363853,2.743604932606514e-05
CTNNA2 (1496),-0.223462663055749,-0.02516109074060967,-0.1983015723151393,2.9088824284068403e-05
ATE1 (11101),0.1492474589060863,0.03991835819228843,0.10932910071379787,3.654311940668171e-05
STAT1 (6772),-0.01980613027995451,0.06374244388362608,-0.0835485741635806,0.00015401120508174302
KRAS (3845),-1.6748425148132604,-0.4840174059808558,-1.1908251088324047,0.00018815383295862865
HABP4 (22927),0.12991655185122866,-0.05456934985437123,0.1844859017055999,0.00020782304576364577
NOTCH1 (4851),0.05892333052482166,-0.032553437283060385,0.09147676780788205,0.0003632460506028055
KRTAP19-6 (337973),-0.19545383550381704,-0.08378791072306269,-0.11166592478075435,0.0003768885430068322
IRS2 (8660),-0.197730021470606,-0.543102665378356,0.34537264390775,0.000393561042778204
SMARCD1 (6602),-0.036148921080396114,-0.28681739966384506,0.25066847858344893,0.00043082395966378284
SOX21 (11166),0.1593964611027634,0.027390441950478774,0.13200601915228463,0.0004379769433975424
MYBL2 (4605),-0.2955607823057832,-0.6383180335598763,0.34275725125409306,0.00047630507903414777
ZBTB20 (26137),0.23652823677923127,0.07484322235760385,0.16168501442162742,0.0005261007651151994
UNK (85451),-0.08226468328986296,-0.19237717282907782,0.11011248953921486,0.0005337578941040783
ABHD16A (7920),-0.21886533744017309,-0.13082277937248543,-0.08804255806768765,0.0006301823637703027
NF1 (4763),-0.19103338791379076,0.04578251216289984,-0.2368159000766906,0.0006637874870004534
FSIP1 (161835),-0.07162585065380037,0.04227699653140853,-0.1139028471852089,0.0007596057861214355
ACE (1636),-0.03628173922952825,-0.13825679026446694,0.10197505103493869,0.0007958781704852914
PGM3 (5238),-0.056626593361972864,-0.3329994696541584,0.27637287629218554,0.000805918859850858
OR5D18 (219438),-0.12200269760044274,-0.019462031972074446,-0.1025406656283683,0.0008200628022419289
CEP43 (11116),-0.0931308195436884,-0.38787833848376446,0.29474751894007606,0.0008222139287066743
WNT7A (7476),-0.06701500221429436,-0.17546012599333363,0.10844512377903927,0.0008291885269581832
PTGER4 (5734),0.06453245309571541,-0.056823165074459704,0.12135561817017512,0.0008487086125012432
BCL2 (596),0.0642351655707859,-0.07500200583719277,0.13923717140797867,0.0008681293249637778
ATF5 (22809),-0.25045550246708675,-0.154208179833945,-0.09624732263314176,0.0008766317899876965
PSMF1 (9491),-0.7680145958971724,-0.30663960746508445,-0.4613749884320879,0.0008823930008207147
ORC2 (4999),-0.12049563423275383,-0.24178416487737447,0.12128853064462064,0.0009140351210494906
PHYHIPL (84457),-0.09439874228099432,0.04147025921842508,-0.13586900149941938,0.0009442641995402641
HEXD (284004),0.06608325720726244,-0.053923986551057505,0.12000724375831995,0.0010702406769611211
RO60 (6738),-0.0711943511027454,0.0014528762354422263,-0.07264722733818763,0.0012290094382886826
PCDHB3 (56132),0.0916129407073253,-0.042879146711879694,0.134492087419205,0.0012655350080049
PRC1 (9055),-1.2848504842343458,-1.6428539854390558,0.35800350120471003,0.0012828677167692748
MDH1 (4190),-0.045980686474681655,0.05417107818302847,-0.10015176465771013,0.0013190331940976616
TXNDC2 (84203),0.3163712514559575,0.2199198688841587,0.0964513825717988,0.0013211078654639134
SBK2 (646643),0.11557235119394137,-0.10420245926294484,0.2197748104568862,0.0013755518502582657
SLITRK5 (26050),0.05695727897421791,-0.03155620391307084,0.08851348288728875,0.0013774954973361942
TP63 (8626),0.1054147017305017,-0.09619525042637742,0.2016099521568791,0.0013805653396859702
FAM162A (26355),-0.2530250367291229,-0.06302334801336434,-0.19000168871575857,0.0013829543590804783
MRGPRX4 (117196),0.15914915889101924,0.040455643053686326,0.11869351583733292,0.0014084162663073167
ABCA13 (154664),-0.10601738366410514,-0.009819555743931046,-0.09619782792017409,0.0014532864168059721
FAM50A (9130),-0.26452327474786963,-0.7113428876373669,0.44681961288949723,0.001518225969350256
ZNF692 (55657),0.012335322578387257,-0.08037663857340596,0.09271196115179323,0.001530200536319984
EXD1 (161829),-0.0957151642639729,0.0004288381961196229,-0.09614400246009253,0.0015626803056499835
PLEKHB2 (55041),-0.09269603217301388,0.023188293587126593,-0.11588432576014047,0.001598346619388849
PHC3 (80012),0.1416162585001465,0.03352906424561539,0.10808719425453112,0.0016041791152957836
PKD2L1 (9033),-0.12744353799089125,-0.01366011108170484,-0.11378342690918641,0.0016674221394233284
ADPGK (83440),0.02311485326069528,-0.13468772463819073,0.15780257789888602,0.0016827953145253033
CDCP1 (64866),0.08067596483611406,-0.0366391534693305,0.11731511830544455,0.0016838977093347285
P3H4 (10609),-0.3133048471474769,-0.2077812890465353,-0.1055235581009416,0.001733777941691597
SLC45A1 (50651),0.1345005480355924,-0.03249426514197415,0.16699481317756654,0.001797853394773089
RPL23 (9349),-3.2132341231663397,-2.806355527098384,-0.40687859606795573,0.0018121188918933445
BTG1 (694),-0.04367334148798344,-0.13739641885210988,0.09372307736412644,0.0018166077898381066
PCDHGB7 (56099),0.13439413221146412,0.04847011494951676,0.08592401726194737,0.0018761320544716938
CXCR3 (2833),0.09362834194016567,0.012030758636591579,0.0815975833035741,0.0019201139038605396
CRELD1 (78987),0.08763255186410712,-0.01375330348095643,0.10138585534506356,0.0019582438451455583
SCT (6343),0.13637477992481048,-0.022935722829717998,0.1593105027545285,0.0019987051300317878
CYP1B1 (1545),0.1304429243562731,0.042582344796789386,0.08786057955948373,0.0020275348522486025
OR10H1 (26539),-0.13301853865442118,-0.25976587785243965,0.12674733919801848,0.0021066868582923105
C3orf80 (401097),0.17622831637296824,0.01806040204992608,0.15816791432304217,0.0021658334110641895
CLDN5 (7122),-0.0610958910248952,0.04424787008784302,-0.10534376111273822,0.0022826649694948444
CABP1 (9478),0.1702387598523598,0.06136395881917198,0.10887480103318783,0.0023257857399674614
SLC9A6 (10479),0.1618380465566399,0.09521431904201784,0.06662372751462205,0.002337189598623904
IFITM10 (402778),0.1637660003128509,0.053674278032293056,0.11009172228055786,0.0023901759298462603
HESX1 (8820),-0.25829429660207953,-0.08987649377315139,-0.16841780282892815,0.0024328071460922927
EPHB4 (2050),0.11135393359584783,0.03592321939558217,0.07543071420026566,0.002445719146116657
EXTL3 (2137),-0.02418196472399578,-0.18701759152755798,0.1628356268035622,0.0024590734197409495
KCNQ1 (3784),0.11196363670682367,-0.02819180125010014,0.1401554379569238,0.002468698843267672
ASTN1 (460),0.0812843121830448,-0.04722653437873757,0.12851084656178235,0.002480839056214673
NTSR1 (4923),0.20769841822016807,0.09188543578173118,0.11581298243843689,0.002483095469717372
TPD52L1 (7164),-0.01157142672607187,0.07521461038414534,-0.0867860371102172,0.0024849347917426587
PAK2 (5062),-0.012759833960439775,-0.21692563939456705,0.20416580543412727,0.0024943340436052058
NLRP1 (22861),-0.023486979177464378,0.07761733405972697,-0.10110431323719135,0.0025010031017296294
B3GAT1 (27087),0.13517469785788128,0.01056632484080392,0.12460837301707736,0.002622464059762263
FAXDC2 (10826),0.3139747457983467,0.06113139676979429,0.25284334902855243,0.002662888943922971
CELA3B (23436),0.1427498034346907,0.05577344204598768,0.08697636138870303,0.0026975368606678347
VPS13B (157680),0.13158387331515844,0.037905518063533504,0.09367835525162493,0.002726084406706703
CBR1 (873),0.23071740197399468,0.11795379743320432,0.11276360454079036,0.0027364647638324128
TLDC2 (140711),-0.0733055862553179,0.02928680472813389,-0.10259239098345178,0.0027471644099322716
GUCA2B (2981),0.06640161147312706,-0.022396563367516272,0.08879817484064334,0.0027756607520975597
RDM1 (201299),-0.34998635049595356,-0.24974959011639966,-0.1002367603795539,0.0028612273130075986
HDGFL1 (154150),0.06917227873514602,-0.03359489348794211,0.10276717222308812,0.0029276612809309823
SERPINA4 (5267),0.08154404292070037,-0.021178513095659112,0.10272255601635949,0.0029315960262071205
TLCD3A (79850),0.126580447258516,0.012737095950887373,0.11384335130762863,0.002991342277403262
FXYD4 (53828),-0.13250862853695775,0.02137593965021082,-0.15388456818716856,0.0030880268314192826
TNP1 (7141),-0.15771882441839186,-0.02862358810567606,-0.1290952363127158,0.003175808559672788
GFOD1 (54438),0.21061774840461908,0.09560505294262828,0.1150126954619908,0.0031833177113882263
TSEN54 (283989),-1.1753751820413527,-0.8987223478435916,-0.2766528341977611,0.0032224678070666563
KCNH2 (3757),0.06593133135142039,-0.0710992100621273,0.1370305414135477,0.00331675294481811
RCAN2 (10231),-0.047180715619077794,0.07921955427471725,-0.12640026989379505,0.003354660447312679
KRTAP15-1 (254950),-0.19989429116705956,-0.0712383195291849,-0.12865597163787468,0.003355426149879357
SLC25A47 (283600),0.19472816749197785,0.08528006364483269,0.10944810384714516,0.003371364505240197
ALOX5AP (241),0.21111824749968625,0.1386610991036368,0.07245714839604944,0.0033854946080142715
RTL5 (340526),-0.19209388043292944,-0.11176736300213512,-0.08032651743079432,0.003402158747466182
TRIM23 (373),-0.1649884518601307,-0.026472018527581853,-0.13851643333254884,0.003417621297385326
OXCT2 (64064),0.11679256434950332,-0.006052704840555721,0.12284526919005903,0.0034349657331431862
PRSS57 (400668),0.22589215653940822,0.08991297180444353,0.13597918473496468,0.003468998558260505
TBC1D9B (23061),0.03600097825734712,-0.08238043273729048,0.1183814109946376,0.0034690290653828838
CLDN4 (1364),0.14429300449757296,0.0011506295497711034,0.14314237494780185,0.003478884602969806
WDR62 (284403),-0.26067873695242455,-0.12812820002638725,-0.1325505369260373,0.0035145184385225923
RNASE7 (84659),-0.008134770851317058,0.10906850670490419,-0.11720327755622124,0.0035410195254296927
KRTAP12-1 (353332),0.1387928455957312,0.01917856627365785,0.11961427932207336,0.003610746469053094
HSPB3 (8988),-0.07071535125956578,0.027208536608783224,-0.097923887868349,0.0036589343295739935
ARF1 (375),-0.10640110738229246,-0.36025477630551817,0.2538536689232257,0.0036681321683257936
CST8 (10047),0.048593120796666535,0.11926226031069855,-0.070669139514032,0.0036918573840342213
IL17B (27190),0.15657539920880983,0.05412226565120497,0.10245313355760487,0.003814111925102331
BICRA (29998),0.1624334798296151,0.018096653023706114,0.14433682680590898,0.0038169045555933173
ACTL7B (10880),0.15655301743460012,0.03676527128051303,0.11978774615408709,0.0038257506836659972
ALDOC (230),-0.3576065870193237,-0.1976615673647713,-0.15994501965455238,0.003828878325968378
ZNF45 (7596),-0.08563441088584851,0.06834605139509863,-0.15398046228094714,0.003938226807656833
PEPD (5184),0.10590444251963162,-0.017354815830590654,0.12325925835022228,0.004007550253327323
GLA (2717),-0.04030284906404905,0.016486186325344102,-0.05678903538939316,0.004067523928160557
RIN3 (79890),0.029301674392501083,-0.09350196790703298,0.12280364229953407,0.004081952510506918
FARSA (2193),-0.6867456993417934,-0.8774902434746419,0.19074454413284847,0.004140909073703391
IGFALS (3483),0.00857149729491949,-0.08374828274918072,0.09231978004410021,0.004157800770881361
SPRR2F (6705),-0.09389916875741032,0.11707818658599366,-0.21097735534340398,0.004160694878979928
RINT1 (60561),-0.5556095599277476,-0.8232138846037728,0.26760432467602513,0.004187007863583766
PTGFRN (5738),0.029546409611958396,-0.06751817471516981,0.09706458432712821,0.004391481295199394
SLC2A4RG (56731),-0.04256855739331792,0.03897033095459013,-0.08153888834790804,0.004422347219133341
TM4SF5 (9032),0.13212087144434764,0.053581523295776076,0.07853934814857157,0.004486929919377878
TCP1 (6950),-1.9288038423025267,-1.6186152759698427,-0.310188566332684,0.004500161475655395
GPR26 (2849),0.005310334388373017,-0.09145330648990621,0.09676364087827923,0.004641455272382807
FILIP1 (27145),-0.09054184824987506,0.04003017564981076,-0.1305720238996858,0.004687683189662348
IDH1 (3417),-0.19322305471269108,-0.08235130950467172,-0.11087174520801936,0.004745478540296538
KDM5A (5927),-0.259719607049999,0.01408895777270361,-0.27380856482270266,0.004756056986221468
BHLHA9 (727857),0.11399448370373481,-0.010363563571677966,0.12435804727541278,0.0047608856702975105
GAB1 (2549),-0.03309719145696425,-0.21241664986040232,0.17931945840343808,0.004762062106358216
IL3 (3562),-0.1845587338700532,-0.04858342213657603,-0.13597531173347716,0.004826568558702894
CRYBB2 (1415),0.18933742309881518,0.10604973184960674,0.08328769124920844,0.004853482034782153
BRD9 (65980),0.11371675017222192,-0.06798174828967198,0.1816984984618939,0.004867319249669044
RAB32 (10981),0.20261876166548068,0.09042610308408919,0.11219265858139149,0.004874072554219919
EN2 (2020),0.0932783559698569,-0.003570313427462455,0.09684866939731936,0.004916641328855433
MAFB (9935),0.15472153324818463,0.04358577068204472,0.11113576256613991,0.005024829641742605
TRIM22 (10346),0.07454897355441939,-0.010624282899942468,0.08517325645436186,0.005134587566265081
CREBRF (153222),-0.09555993162989584,-0.009053077092122903,-0.08650685453777295,0.005160981549240375
UBE2D1 (7321),-0.08998982834243968,0.015902401503795575,-0.10589222984623525,0.005168452415398352
GATA6 (2627),0.15505207814567837,0.037632042786735986,0.11742003535894238,0.005185142580593981
RTP2 (344892),0.12994478976841056,0.05745612866053631,0.07248866110787425,0.005253163160591348
ZNF444 (55311),0.06752154573306235,-0.04932011926193368,0.11684166499499603,0.005267330308511909
ZDHHC4 (55146),-0.05081847972722527,0.05721601749008242,-0.10803449721730769,0.005294432992481196
CT47B1 (643311),0.019283438314490267,-0.07363773490589355,0.09292117322038382,0.005538781115816662
ULBP2 (80328),-0.2532457165733351,-0.0778913063350833,-0.17535441023825182,0.0055606936507229775
ZCCHC24 (219654),0.16394006868627545,0.04313315949286446,0.12080690919341099,0.005608713255500019
HECTD3 (79654),-0.02097565833402026,-0.1392002574311732,0.11822459909715294,0.005615668601553069
QTRT1 (81890),-0.17509470500542845,-0.08390189479053743,-0.09119281021489102,0.005650206582125834
PHF11 (51131),0.17596078521785594,0.09288849280799896,0.08307229240985697,0.005657164952633966
TMEM278 (643965),0.0197581711727375,-0.08343781047064411,0.1031959816433816,0.005668470176503248
SSX2IP (117178),-0.05179641690824636,0.0448830704093074,-0.09667948731755376,0.005672621460427986
TRIM7 (81786),0.17309564762615207,0.045904529823985935,0.12719111780216613,0.005680570572989701
VPS13C (54832),0.028754320141323477,-0.09072389346094194,0.11947821360226542,0.005701906885540953
CIMAP1C (161753),-0.05240084764011855,0.043176612772139994,-0.09557746041225854,0.005742198527985679
MSANTD2 (79684),0.06850558720525719,-0.07197612155708631,0.1404817087623435,0.00576430951568371
DOCK9 (23348),0.10808760106301192,0.011529467889614826,0.09655813317339709,0.005818658135200638
BCL9 (607),-0.3254650829375683,-0.07845506896491802,-0.2470100139726503,0.005912793797387731
LMOD2 (442721),0.00460749495792319,0.08760163944709098,-0.0829941444891678,0.005979759765042274
SLC16A6 (9120),-0.11029201225143669,-0.21249976657479047,0.10220775432335379,0.006013153237727083
DIXDC1 (85458),-0.007936968148518998,-0.09236304473116692,0.08442607658264792,0.006117011900737485
ADRB3 (155),0.08522441039496781,-0.011597598484910232,0.09682200887987805,0.006132254931500317
BRINP2 (57795),0.016403790784996517,-0.07972104271488056,0.09612483349987708,0.006199823198908435
GFOD2 (81577),-0.15755242318501256,-0.07124164534797264,-0.08631077783703991,0.0062479945481543385
CCER1 (196477),0.11044537132219757,0.027310333526298313,0.08313503779589926,0.006268533335888937
IFT88 (8100),-0.09142816648334508,0.006117916348444477,-0.09754608283178956,0.006446726466758756
GALNT1 (2589),0.09446696865102992,0.03319743084577633,0.06126953780525359,0.006540754554423264
NOSTRIN (115677),-0.11187701405728019,-0.03545291005696409,-0.0764241040003161,0.006542953734281251
KLF2 (10365),0.014577762055225948,-0.0706196280513244,0.08519739010655035,0.006689660298395396
MSC (9242),0.018656815953169096,-0.12564840198143762,0.1443052179346067,0.006712579104507565
SIAH2 (6478),0.13734877271798163,0.03015253522541802,0.1071962374925636,0.006745135646609577
GCC1 (79571),-0.09035824894855864,0.006014928802877436,-0.09637317775143607,0.006757329285701207
ZUP1 (221302),-0.06472487107872305,0.011060193455732462,-0.0757850645344555,0.00677734258573844
SOX2 (6657),-0.054963053840563075,-0.2733170999620625,0.21835404612149942,0.006794414440816069
EXOSC3 (51010),-0.9778155930305176,-1.2044039092834957,0.22658831625297815,0.006838408528644888
TECPR2 (9895),-0.09619770731065556,0.002169711612739667,-0.09836741892339523,0.00689023771776178
RLIG1 (91298),-0.06257468493717198,0.04326928574295613,-0.10584397068012812,0.0068912756939202785
RHOV (171177),0.11081646712892786,0.017552054674020306,0.09326441245490755,0.006971524414248056
NECTIN1 (5818),0.09676645230288866,-0.002662045160827497,0.09942849746371615,0.006983899607781765
KRTAP5-3 (387266),-0.056870316995715105,-0.16297364072434936,0.10610332372863426,0.006984001225927628
ARMT1 (79624),-0.0949459241210285,0.05055959357269724,-0.14550551769372572,0.007046164538577846
UQCR11 (10975),-0.23894611797536788,-0.13183539348015008,-0.1071107244952178,0.0071519230981924465
C10orf95 (79946),-0.1927611595670551,-0.39400561166013864,0.20124445209308353,0.007178681960412653
PLEKHA1 (59338),0.17851170189942733,0.29696766843185585,-0.11845596653242851,0.007239221102650813
ITGAE (3682),0.15928360028245228,0.07132893689734099,0.08795466338511129,0.0072857636779648256
HTRA1 (5654),0.047712036500455614,-0.04302748770484842,0.09073952420530404,0.007298014090786505
TESC (54997),0.13155666340340436,0.03942054355284613,0.09213611985055822,0.007342189285115954
HRK (8739),-0.18632194616036968,-0.30793206188508987,0.12161011572472019,0.007355150962517672
YIF1B (90522),-0.0018326527166374433,-0.08553802082703803,0.08370536811040058,0.007386334646660361
CHST13 (166012),0.10486655258191313,0.02578182502590499,0.07908472755600814,0.00740099312548492
NAV1 (89796),-0.1527652887653946,-0.256624437494396,0.1038591487290014,0.007429686100066488
EGFR (1956),-0.08365057855192498,-0.3649231711279201,0.28127259257599513,0.007433241785913241
SPINK8 (646424),-0.09368047112011967,-0.005036148938908542,-0.08864432218121113,0.007443702553052786
RPL6 (6128),-3.145069367819048,-2.3900634532950877,-0.7550059145239603,0.007443940542388001
MAN2C1 (4123),-0.01226450226126098,-0.14226893806288118,0.13000443580162022,0.007543099503004004
DYNLRB2 (83657),0.0797317416333755,0.1840080230141356,-0.1042762813807601,0.007567260743841678
TOX (9760),-0.029053739239949198,0.04118121658273377,-0.07023495582268297,0.007660271886870345
CSF3R (1441),-0.053153708689497224,-0.14905272092394345,0.09589901223444622,0.007708871766655348
TTLL7 (79739),-0.14117448437516913,-0.027520656610143236,-0.1136538277650259,0.007718139620227542
REPS1 (85021),0.06743403208779546,-0.014066575377228177,0.08150060746502363,0.007881232907543351
ZNF385B (151126),0.2292161128246667,0.11164267587914879,0.1175734369455179,0.007901335526137886
HIGD1C (613227),-0.09070586220028325,0.002796376336349927,-0.09350223853663317,0.007914914646616197
EFCC1 (79825),-0.0006109637112452099,-0.1049650619672589,0.10435409825601369,0.007953205076429413
RNF133 (168433),-0.03070566001625916,0.051616785309950376,-0.08232244532620954,0.007971913158847816
PTPRE (5791),0.11854460745926433,0.03994288918983292,0.07860171826943141,0.007977109292366481
TPH2 (121278),-0.25255866269256966,-0.1453903821127555,-0.10716828057981415,0.008008921345479765
DRICH1 (51233),-0.17249281514902126,-0.07108155702583292,-0.10141125812318834,0.008010824682245805
DHX8 (1659),-1.922706504411823,-1.6274636785416343,-0.2952428258701887,0.008013170637043385
ATP4A (495),0.089914343742327,-0.013382092464842106,0.1032964362071691,0.008071066401897403
FOXF2 (2295),0.13465135240370107,0.0515925783460574,0.08305877405764367,0.00807571309301476
TMTC3 (160418),-0.08647317740453081,0.004067567333243497,-0.0905407447377743,0.008086819105635305
PAPSS1 (9061),0.046109021155010026,-0.02573550789670493,0.07184452905171496,0.008143758007812394
OR4C6 (219432),-0.09179446468696732,0.006566110999955338,-0.09836057568692266,0.00814754340227232
PDE5A (8654),-0.0060977952815044955,0.06706523744091822,-0.07316303272242271,0.008157042980187164
HYLS1 (219844),-0.00793206289016756,-0.09692122182148641,0.08898915893131885,0.008304768028854702
SLC33A1 (9197),-0.11987704440179148,-0.34554264497577775,0.22566560057398627,0.008312472101970742
USP34 (9736),-0.1816548233149744,-0.07688277620741579,-0.10477204710755861,0.008327087022266578
LEP (3952),-0.11297862738307302,-0.02181640912543624,-0.09116221825763678,0.00835220200403411
SAT2 (112483),-0.13888080476608058,0.001620252725090762,-0.14050105749117134,0.008355223013161163
CD48 (962),-0.18239343008408196,-0.05443870310864995,-0.127954726975432,0.00836092183110123
GNAI1 (2770),-0.1220630027387725,0.007403423784952245,-0.12946642652372475,0.00839883195986065
CFAP119 (90835),-0.11226379732413037,-0.0006181387143163756,-0.111645658609814,0.008450733554987084
SOX1 (6656),0.17552429627549127,0.033368856420622664,0.14215543985486861,0.008593283047191471
ZNF483 (158399),0.035814079733932795,0.11667519353661747,-0.08086111380268468,0.008671969969343857
STAB2 (55576),0.06817032558585621,-0.03845784894331651,0.10662817452917273,0.00869431089425298
PMM2 (5373),-0.14660063125956443,-0.42301869585948815,0.2764180645999237,0.0087123658428285
VSIG2 (23584),0.19105777394317722,0.09900223199904379,0.09205554194413343,0.008732057845448902
